State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Punjab,Mohali,"Kharar APMC",Onion,Other,Non-FAQ,13/03/2026,1500,2000,1700
Punjab,Mohali,"Kharar APMC","Peas Wet","Peas Wet",Local,13/03/2026,1500,3000,2500
Punjab,Mohali,"Kharar APMC",Pumpkin,Other,Local,13/03/2026,2000,2500,2200
Punjab,Mohali,"Kharar APMC","Green Chilli","Green Chilly",Local,13/03/2026,7000,8000,7500
"Madhya Pradesh",Badwani,"Badwani(F&V) APMC","Green Chilli","Green Chilly",Local,13/03/2026,2500,2500,2500
"Madhya Pradesh",Badwani,"Badwani(F&V) APMC",Tomato,Tomato,Local,13/03/2026,800,800,800
Rajasthan,Ajmer,"Madanganj Kishangarh APMC",Wheat,Other,Local,13/03/2026,1939,2275,2225
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Pomegranate,Pomogranate,"Grade Range-1",13/03/2026,13300,13700,13500
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Tinda,Tinda,Local,13/03/2026,2300,2700,2500
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Garlic,Garlic,"Grade Range-1",13/03/2026,10800,11200,11000
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Capsicum,Capsicum,Medium,13/03/2026,4300,4700,4500
Assam,Nagaon,"Ambagan APMC",Cabbage,Cabbage,FAQ,13/03/2026,1100,1300,1200
Assam,Nagaon,"Ambagan APMC",Beetroot,Beetroot,FAQ,13/03/2026,1800,2050,1900
Assam,Nagaon,"Ambagan APMC",Potato,Potato,FAQ,13/03/2026,1000,1200,1100
Assam,Nagaon,"Haibargaon APMC",Potato,Potato,FAQ,13/03/2026,1020,1200,1120
Assam,Nagaon,"Haibargaon APMC","Green Chilli","Green Chilly",FAQ,13/03/2026,2500,2700,2600
Gujarat,Ahmedabad,"Dholka APMC",Wheat,"Lokwan Gujrat","Grade Range-2",13/03/2026,2015,2495,2425
"Madhya Pradesh",Badwani,"Sendhwa(F&V) APMC",Carrot,Carrot,Medium,13/03/2026,120,1400,1300
"Madhya Pradesh",Badwani,"Sendhwa(F&V) APMC","Green Chilli","Green Chilly",Medium,13/03/2026,1200,1700,1500
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Coriander(Leaves),"I Sort",Local,13/03/2026,5500,6000,5750
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Papaya,Papaya,Local,13/03/2026,2800,3000,2900
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Coconut,Coconut,Local,13/03/2026,6000,6500,6250
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Ridgeguard(Tori),Ridgeguard(Tori),Local,13/03/2026,3300,3500,3400
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Drumstick,Drumstick,Local,13/03/2026,4500,5000,4750
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)","Knool Khol","Knool Khol",Local,13/03/2026,3300,3500,3400
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Lemon,Lemon,Local,13/03/2026,14000,15000,14500
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Mint(Pudina),Mint(Pudina),Local,13/03/2026,5500,6000,5750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Onion,Bellary,Local,13/03/2026,2500,3000,2750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Potato,Other,Local,13/03/2026,3500,4000,3750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Coriander(Leaves),"I Sort",Local,13/03/2026,1800,2000,1900
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)","Bhindi(Ladies Finger)",Bhindi,Local,13/03/2026,4000,4500,4250
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)","Sweet Potato","Hosur Red",Local,13/03/2026,3500,4000,3750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)","Green Avare(W)","Green Avare (W)",Local,13/03/2026,4500,4800,4650
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Drumstick,Drumstick,Local,13/03/2026,3500,4000,3750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)","Onion Green","Onion Green",Local,13/03/2026,2500,3000,2750
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Banana,Karpura,Local,13/03/2026,4500,5000,4750
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Garlic,Garlic,Local,13/03/2026,14000,14500,14250
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Chikoos(Sapota),Sapota,Local,13/03/2026,3000,3500,3250
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Papaya,Papaya,Local,13/03/2026,3500,4000,3750
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)","Bitter gourd","Bitter Gourd",Local,13/03/2026,1500,2000,1750
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)","Banana - Green","Banana - Green",Local,13/03/2026,2500,2800,2650
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Ginger(Green),"Green Ginger",Local,13/03/2026,6000,6500,6250
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)","Tender Coconut","Tender Coconut",Local,13/03/2026,2500,3000,2750
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Yam(Ratalu),"Yam (Ratalu)",Local,13/03/2026,3000,3500,3250
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Colacasia,Colacasia,Local,13/03/2026,2800,3200,3000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Banana,Karpura,Local,13/03/2026,4500,5000,4750
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Garlic,Garlic,Local,13/03/2026,14000,14000,14000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Papaya,Papaya,Local,13/03/2026,3000,3500,3250
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)","Bhindi(Ladies Finger)",Bhindi,Local,13/03/2026,3000,3000,3000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)","Green Chilli","Green Chilly",Local,13/03/2026,5600,5600,5600
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Tapioca,Tapioca,Local,13/03/2026,2600,2600,2600
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Ginger(Green),"Green Ginger",Local,13/03/2026,8000,8000,8000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)","Sweet Potato","Hosur Red",Local,13/03/2026,3000,3000,3000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Ridgeguard(Tori),Ridgeguard(Tori),Local,13/03/2026,3000,3000,3000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Mango(Raw-Ripe),"Mango - Raw-Ripe",Local,13/03/2026,10000,10000,10000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Mint(Pudina),Mint(Pudina),Local,13/03/2026,4000,4000,4000
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)",Banana,Besrai,Local,13/03/2026,3000,3000,3000
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)",Tomato,Deshi,Local,13/03/2026,2000,2000,2000
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)","Bottle gourd","Bottle Gourd",Local,13/03/2026,3000,3000,3000
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)","Bhindi(Ladies Finger)",Bhindi,Local,13/03/2026,5000,5000,5000
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)",Amaranthus,Amaranthus,Local,13/03/2026,2000,2500,2250
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)",Carrot,Pusakesar,Local,13/03/2026,5500,5500,5500
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Coriander(Leaves),"I Sort",Local,13/03/2026,5000,5500,5250
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)","Bottle gourd","Bottle Gourd",Local,13/03/2026,1000,1500,1250
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)","Bhindi(Ladies Finger)",Bhindi,Local,13/03/2026,4000,4500,4250
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Ridgeguard(Tori),Ridgeguard(Tori),Local,13/03/2026,2500,3000,2750
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)","Onion Green","Onion Green",Local,13/03/2026,4000,4500,4250
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Mint(Pudina),Mint(Pudina),Local,13/03/2026,4500,5000,4750
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Banana,Karpura,Local,13/03/2026,4000,5000,4500
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Onion,Bellary,Local,13/03/2026,2500,3000,2750
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Coriander(Leaves),"I Sort",Local,13/03/2026,4500,5000,4750
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Carrot,Pusakesar,Local,13/03/2026,5500,6000,5750
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Snakeguard,Snakeguard,Local,13/03/2026,2000,2500,2250
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Beetroot,Beetroot,Local,13/03/2026,4500,5000,4750
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Mango(Raw-Ripe),"Mango - Raw-Ripe",Local,13/03/2026,8000,10000,9000
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)","Onion Green","Onion Green",Local,13/03/2026,3000,3500,3250
"Uttar Pradesh",Aligarh,"Charra APMC",Tomato,Deshi,FAQ,13/03/2026,1200,1300,1250
"Uttar Pradesh",Mau(Maunathbhanjan),"Doharighat APMC","Green Chilli","Green Chilly",FAQ,13/03/2026,6600,6600,6600
"Uttar Pradesh",Mau(Maunathbhanjan),"Doharighat APMC",Tomato,Deshi,FAQ,13/03/2026,4000,4000,4000
"Uttar Pradesh",Farukhabad,"Farukhabad APMC",Rice,III,FAQ,13/03/2026,2500,2700,2603
"Uttar Pradesh",Prayagraj,"Lediyari APMC",Paddy(Common),Common,FAQ,13/03/2026,2400,2500,2450
"Uttar Pradesh",Hathras,"Shadabad APMC",Potato,Potato,Small,13/03/2026,400,500,450
"Uttar Pradesh",Badaun,"Shahaswan APMC",Potato,Potato,Medium,13/03/2026,800,800,800
"Uttar Pradesh",Bulandshahar,"Sikarpur APMC",Lemon,Lemon,FAQ,13/03/2026,4800,5000,4900
"Uttar Pradesh",Prayagraj,"Sirsa APMC","Green Chilli","Green Chilly",FAQ,13/03/2026,2500,3950,3909
Tripura,Dhalai,"Kulai APMC",Ashgourd,Ashgourd,"Grade B",13/03/2026,3000,3500,3300
Nagaland,Tsemenyu,"Tsemenyu APMC",Banana,Banana-Organic,Local,13/03/2026,5000,5500,5200
Nagaland,Tsemenyu,"Tsemenyu APMC","Bottle gourd","Bottle gourd-Organic",FAQ,13/03/2026,2000,2500,2300
Nagaland,Tsemenyu,"Tsemenyu APMC",Cabbage,Cabbage,FAQ,13/03/2026,2500,3000,2700
"West Bengal",Darjeeling,"Darjeeling APMC",Onion,Other,FAQ,13/03/2026,2800,3000,2900
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Potato,Other,Local,13/03/2026,3500,4000,3750
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Pumpkin,Pumpkin,Local,13/03/2026,2000,2200,2100
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC","Green Chilli","Green Chilly",Local,13/03/2026,4000,4500,4250
"Tamil Nadu",Pudukkottai,"Gandarvakottai(Uzhavar Sandhai ) APMC","Cluster beans","Cluster Beans",Local,13/03/2026,3000,4000,3500
"Tamil Nadu",Pudukkottai,"Gandarvakottai(Uzhavar Sandhai ) APMC",Banana,"Red Banana",Local,13/03/2026,6000,7000,6500
"Tamil Nadu",Pudukkottai,"Gandarvakottai(Uzhavar Sandhai ) APMC",Potato,Other,Local,13/03/2026,3500,4000,3750
"Tamil Nadu",Pudukkottai,"Gandarvakottai(Uzhavar Sandhai ) APMC","Green Chilli","Green Chilly",Local,13/03/2026,2000,2500,2250
"Tamil Nadu",Pudukkottai,"Gandarvakottai(Uzhavar Sandhai ) APMC",Ginger(Green),"Green Ginger",Local,13/03/2026,7000,8000,7500
"Tamil Nadu",Nagapattinam,"Mayiladuthurai(Uzhavar Sandhai ) APMC",Banana,Besrai,Local,13/03/2026,3500,4000,3750
"Tamil Nadu",Nagapattinam,"Mayiladuthurai(Uzhavar Sandhai ) APMC",Onion,Bellary,Local,13/03/2026,2500,3000,2750
"Tamil Nadu",Nagapattinam,"Mayiladuthurai(Uzhavar Sandhai ) APMC",Amaranthus,Amaranthus,Local,13/03/2026,1500,2000,1750
"Tamil Nadu",Nagapattinam,"Mayiladuthurai(Uzhavar Sandhai ) APMC","Banana - Green","Banana - Green",Local,13/03/2026,3000,3500,3250
"Tamil Nadu",Nagapattinam,"Mayiladuthurai(Uzhavar Sandhai ) APMC",Cabbage,Cabbage,Local,13/03/2026,4000,4000,4000
